	1	2	3	4	5	6
	en	se	es	de	du	he
	English	Swedish	Spanish	German	Dutch	Hebrew
1	 but was 
2	 could not be accessed.
3	 Do you really want to delete
4	 Drug
5	 emails not sent
6	 from
7	 has been created. 
8	 has been re-opened.
9	 History
10	 is not a number
11	 is ready for re-billing.
12	 LLL:
13	 Lot
14	 Medicaid Original Reference No. 
15	 min
16	 not found!
17	 Pecularities in many browsers may mean that the output below enters your screen in sudden jerks and that there are long pauses of several seconds where it  appears as though things may have crashed. That is not the case, you will eventually see output coming out line by line. There may be sequential numbers appearing  below, this is to indicate that even though nothing else may be displaying there is activity going on. These numbers will be interspersed with the content of the  billing and that is normal.
18	 prescription has reached its limit of
19	 until 
20	 update failed, not in database?
21	 was marked as billed only.
22	 was queued successfully.
23	! Left w/o visit
24	" for code 
25	" is CHECKED in PostCalendar Settings!
26	"Not otherwise classified" or "unlisted" procedure code (CPT/HCPCS) was billed when there is a specific procedure code for this procedure/service
27	# Ins/fin issue
28	# of tablets:
29	$ Coding done
30	$1
31	$label (yyyy-mm-dd): 
32	% Cancelled <  24h 
33	' should exist but does not.
34	(New Patient)
35	(Notes and Authorizations)
36	(Patient Notes)
37	* Reminder done
38	** Please move surgeries to Issues!
39	*Required
40	+ Chart pulled
41	... before entering the adjudication system.
42	0-10
43	1.Rest 2. Ice for two days 3. Compression, leave the dressing in place unless the foot develops numbness or pale color 4. Elevate the foot and leg
44	11-14
45	15-19
46	20-24
47	2111-13
48	25-29
49	3 months
50	3 times daily
51	30-34
52	35-39
53	4 months
54	4 times daily
55	40-44
56	45+
57	465.9, URI
58	466.0, Bronchitis, Acute NOS
59	486.0, Pneumonia, Acute
60	491.21, COPD Exacerbation
61	491.8, Bronchitis, Chronic
62	493.92, Asthma, Acute Exac.
63	496.0, COPD
64	519.7, Bronchospasm
65	6 months
66	824.0 Fracture, medial malleolus, closed
67	824.2 Fracture, lateral malleolus, closed
68	824.6 Fracture, Trimalleolar, closed
69	825.32 Fracture, of Navicular (ankle)
70	825.35 Fracture, Base of fifth (5th) Metatarsal
71	845.00 ankle sprain NOS
72	845.01 Sprain Medial (Deltoid) Lig.
73	845.02 Sprain, Calcaneal fibular
74	99212 Established - Uncomplicated
75	99213 Established - Low Complexity
76	< In exam room
77	> Checked out
78	? No show
79	@ Arrived
80	[Change View]
81	[Date of Last Encounter]
82	[Days Since Last Encounter]
83	[EOBs]
84	[Export OFX]
85	[not recommended]
86	[Number Of Encounters]
87	[Reports]
88	[Select All]
89	[SQL-Ledger]
90	[Start Batch Processing]
91	[View Log]
92	[View Printable Report]
93	_PC_DUR_HOURS
94	_PC_DUR_MINUTES
95	_PC_LOCALE
96	A check number or claim number to identify the payment
97	A failed trial of pelvic muscle exercise training is required in order for biofeedback training for the treatment of urinary incontinence to be covered.
98	A lot number is required!
99	A mental health facility is responsible for payment of outside providers who furnish these services/supplies to residents.
100	A new/revised/renewed certificate of medical necessity is needed.
101	A patient may not elect to change a hospice provider more than once in a benefit period.
102	A payer providing supplemental or secondary coverage shall not require a claims determination for this service from a primary payer as a condition of making its own claims determination.
103	A related IPPF code is required!
104	A separate claim must be submitted for each place of service. Services furnished at multiple sites may not be billed in the same claim.
105	A Skilled Nursing Facility (SNF) is responsible for payment of outside providers who furnish these services/supplies to residents.
106	a.c.
107	a.m.
108	A/F Level Right:
109	AB
110	Abcess:
111	Abdominal
112	Able to Bear Weight four (4) steps:
113	Abn
114	ABN1
115	Abortion Issues
116	Abortion Method
117	Absences by Diagnosis
118	Accept Assignment
119	Accept Payment for 
120	Accepted for processing.
121	Accepts Assignment
122	Access Control
123	Access Control List Administration
124	Accident date, state, description and cause.
125	According to our agreement, you must waive the deductible and/or coinsurance amounts.
126	ACL
127	ACL Administration Not Authorized
128	Act Date
129	Active
130	Active Encounter
131	Active Patient
132	Activity Type
133	Acute on Chronic
134	Add
135	Add a Company
136	Add a Pharmacy
137	add an event for 
138	Add as New
139	Add Category
140	Add Constant
141	Add Copay
142	Add Drug
143	Add Encounter
144	Add Facility
145	Add Group
146	Add ICD Code
147	Add Issue
148	Add Language
149	Add New
150	Add new category : 
151	Add New Group
