Weno Exchange LLC Pharmacy Directory Last Updated at 08-28-2017 10:06:10 AM(CST)
Last Updated,Store_Name,NCPDP,Active,NPI,Pharmacy_Phone,Pharmacy_Fax,Address_Line_1,Address_Line_2,City,State,ZipCode,Retail,Specialty,Long Term Care,Mail Order,Mail State Codes,Mail Address Line 1,Mail Address Line 2,Mail City,Mail State,Mail Zip Code,Mail Phone,Mail Fax,EPCS_Permitted,Accept_NewRx,Accept_RefillResponse,Accept_RxChangeResponse,Accept_Verify,Accept_CancelRx,Accept_RxHistoryRequest,Accept_RxHistoryResponse,Accept_Census,Accept_Resupply
"3/27/2014 10:12:16 AM","PONDERS MOUNTAIN PHARMACY","0134394","YES","178089548","2565974020","2565974077","29812 Alabama Hwy 71","","Bryant","AL","35958","True","False","False","False","","","","","","","","","False","True","True","False","False","False","False","False","False","False"
"4/26/2017 2:47:52 PM","Freeman's Compounding Pharmacy Inc","0139724","YES","1063826816","2059728328","2059728270","4268 Cahaba Heights Court   Ste 121","","Birmingham","AL","35243","True","False","False","False","","","","","","","","","False","True","False","False","False","False","False","False","False","False"
"4/26/2017 2:51:51 PM","Carescript Pharmacy LLC","0423676","YES","1023309671","4792420709","4792424405","2910 Jenny Lind #4","","Fort Smith","AR","72901","True","False","False","False","","","","","","","","","False","True","False","False","False","False","False","False","False","False"
"9/30/2013 4:52:52 AM","TANBINH PHARMACY","0508599","YES","Pending","7145318275","7145318276","15434 BROOKHURST ST","","Westminster","CA","92683","True","False","False","False","","","","","","","","","False","True","True","False","False","False","False","False","False","False"
"1/9/2017 2:19:28 AM","Linda Vista Pharmacy","0508816","YES","1902051774","7145428865","7145429136","520","W 17th St # 7","Santa Ana","CA","92706","True","False","False","False","","","","","","","","","False","True","False","False","False","False","False","False","False","False"
"1/9/2017 4:34:11 AM","Mai-Tram Pharmacy","0510885","YES","1285655258","4154412672","4154412763","512 Ellis St ","","San Fransico","CA","94109","True","False","False","False","","","","","","","","","False","True","False","False","False","False","False","False","False","False"
"1/9/2017 2:42:56 AM","Lisa Pharmacy","0511015","YES","1184704454","6269180929","6269182251","1840"," N Hacienda Blvd # 1","La Puente","CA","91744","True","False","False","False","","","","","","","","","False","True","False","False","False","False","False","False","False","False"
"4/16/2013 5:44:40 PM","Marcos Farmacia","0512738","YES","Pending","3232697958","3232691312","4762 E Whittier Blvd","","Los Angeles","CA","90022","True","False","False","False","","","","","","","","","False","True","True","False","False","False","False","False","False","False"
"1/9/2017 4:44:01 AM","Capitol Pharmacy","0516091","YES","1578631867","4082981385","4082980574","2114 Senter Rd # 26","","San Jose","CA","95112","True","False","False","False","","","","","","","","","False","True","False","False","False","False","False","False","False","False"
"11/5/2013 4:09:54 PM","Nova Pharmacy","0518122","YES","Pending","6265838786","6265838212","290 N HILL AVE #3","","Pasadena","CA","91106","True","False","False","False","","","","","","","","","False","True","True","False","False","False","False","False","False","False"
