"err01","<b>&lt;[[OTHER]]&gt;</b> etiketi bulunamadý.<br><br>Eklemek isterseniz, <b>_tag_open_[[OTHER]]</b> þeklinde açýp, <b>_tag_close_[[OTHER]]</b> þeklinde kapatabilirsiniz.<br><br> Bu þekilde etiketler üretirseniz lütfen daha sonraki HTML2PDF versiyonuna eklenmek üzere bana gönderin. ( webmaster@html2pdf.fr )."
"err02","Ýçerik 1000 satýrdan fazla ve gerekenden uzun <br><b>Konu :</b> [[OTHER_0]]<br><b>Geniþlik :</b> [[OTHER_1]]<br><b>Yazý boyutu :</b> [[OTHER_2]]<br>"
"err03","HTML kodu hatalý, etiket birden fazla defa kapatýlmýþ: <b>&lt;[[OTHER]]&gt;</b>"
"err04","HTML kodu hatalý, etiketler gereken düzen içinde kapatýlmamýþ.<br>Durum : <pre>[[OTHER]]</pre>"
"err05","HTML kodu hatalý, bütün etiketler kapatýlmalý.<br>Durum : <pre>[[OTHER]]</pre>"
"err06","Resim dosyasý okunamýyor <b>[[OTHER]]</b>"
"err07","TD içeriði bir sayfaya sýðmýyor"
"err08","<b>&lt;[[OTHER]]&gt;</b> tag not in a &lt;DRAW&gt; tag"
"err09","The using of the <b>&lt;[[OTHER_0]]&gt;</b>> tag has changed, you can not use [[OTHER_1]] anymore. Read the WIKI"
"txt01","HATA n°"
"txt02","Dosya :"
"txt03","Satýr :"
"pdf01","Doküman üretilme tarihi [[date_y]]-[[date_m]]-[[date_d]]"
"pdf02","Doküman üretilme tarihi [[date_h]]:[[date_i]]"
"pdf03","Doküman üretilme tarihi [[date_y]]-[[date_m]]-[[date_d]] saati [[date_h]]:[[date_i]]"
"pdf04","Sayfa [[page_cu]]/[[page_nb]]"
"pdf05","Adobe Reader 9 gerektirir"
"vue01","DOSYA ÜSTÜ"
"vue02","DOSYA ALTI"
"vue03","SAYFA"
"vue04","Görünüm"
